name,workload description
aho-corasick,"Suite: 163 tests, 85.6% API. Covers string matching, automata construction, overlapping matches, streaming search; gaps: rare builder configurations, serialization-related/searcher variants."
arbitrary,"Suite: 48 tests, 87.0% API. Covers Arbitrary trait implementations, Unstructured byte consumption, container generation/error handling for exhausted input; gaps: recursive generation, detailed size-hint, shrinking-like paths."
arc-swap,"Suite: 33 tests, 90.0% API. Covers atomic pointer loading, storing, swapping, guard; gaps: accessor/strategy APIs plus timing-sensitive cache edges."
arrayvec,"Suite: 93 tests, 82.8% API. Covers ArrayVec/ArrayString operations push, pop, insert, remove; gaps: unchecked variants, zero-capacity/exhaustive boundary/drop-order combos."
async-lock,"Generated suite: 118 tests, 94.1% API. Covers Mutex, RwLock, Semaphore, Barrier; gaps: deeper contention schedules, cancellation races, fairness guarantees."
async-std,"Suite: 365 tests, 40.2% API. Covers async runtime, task, filesystem, networking; gaps: runtime configuration, platform-specific I/O/async adapters."
async-task,"Suite: 80 tests, 78.3% API. Covers task creation, scheduling, polling, wake; gaps: concurrent state-machine races, deallocation edges/raw task APIs."
bimap,"Suite: 56 tests, 100.0% API. Covers BiHashMap/BiBTreeMap insert and overwrite semantics, get/remove/contains by left and right, iteration, serde; gaps: a few overwrite-collision and ordering branches."
borsh,"Suite: 260 tests, 80.0% API. Covers serialization/deserialization round trips for primitive, collection, derive/schema-related paths; gaps: helper APIs, derive edges/malformed-input failures outside common codec flows."
brotli-decompressor,"Suite: 31 tests, 73.4% API. Covers integration-style decompression workloads, dictionary handling, Huffman decoding/stream state transitions; gaps: helpers/unusual malformed-input or buffer-boundary combos."
bstr,"Suite: 48 tests, 63.9% API. Covers byte string construction, searching, slicing, conversion; gaps: ByteSlice/BString surface replacement, lossy conversion/iterator variants."
bytemuck,"Generated suite: 43 tests, 100.0% API. Covers casts, checked casts, allocation helpers, derive; gaps: invalid-alignment, padding/feature-specific derive failure cases."
byteorder,"Generated suite: 680 tests, 83.6% API. Covers integer/floating-point read/write operations, sign extension, packed sizes/endian-specific slice flows; gaps: I/O error paths, partial buffers, uncommon integer widths."
bytes,"Suite: 1243 tests, 53.4% API. Covers Bytes/BytesMut slicing, splitting, freezing, reserving, Buf/BufMut numeric reads and writes, chain/take/limit/reader adapters, allocation, debug, and serde paths; gaps: less common conversion helpers, platform/loom-specific paths, and deeper ownership/reclamation edge cases."
cc,"Generated suite: 88 tests, 89.3% API. Covers compiler/tool detection, flags, target parsing, cargo metadata output; gaps: platform-specific compiler probes, environment interactions/failure modes that are hard to reproduce portably."
chrono,"Suite: 274 tests, 81.5% API. Covers date/time parsing, formatting, arithmetic, timezone handling; gaps: constructors, feature-gated APIs/obscure calendar/timezone edges."
clru,"Suite: 48 tests, 94.4% API. Covers CLruCache insertion and eviction (put/put_with_weight), lookup (get/get_mut/peek), weighted capacity, entry-style put_or_modify; gaps: memory-bounded config constructors (with_memory)."
colored,"Suite: 19 tests, 74.1% API. Covers basic colorization, style composition, formatting/color-control; gaps: individual style accessors/platform-specific terminal handling branches."
combine,"Suite: 40 tests, 54.9% API. Covers parser combinator construction, token parsing, stream interactions/common success/failure parser flows; gaps: specialized combinators, stream adapters/error-recovery branches."
cpp_demangle,"Suite: 57 tests, 81.2% API. Covers demangling parser/formatter over C++ symbol inputs; gaps: individual AST/formatting helpers/rare ABI grammar productions."
cssparser,"Generated suite: 45 tests, 85.5% API. Covers tokenization, ParseError/SourcePosition helpers, serialization, color parsing; gaps: at-rule, recovery/serializer combos."
curl,"Generated suite: 61 tests, 94.8% API. Covers easy/multi handles, callbacks, protocol options, list handling; gaps: large option-setting surfaces, FFI error paths/multi-handle lifecycle states."
dashmap,"Generated suite: 20 tests, 84.5% API. Covers map references, entry APIs, rayon integration, try-result helpers; gaps: high-contention concurrent mutation, iterator invalidation edges/specialized entry/accessor combos."
deranged,"Suite: 59 tests, 100.0% API. Covers bounded integer construction, arithmetic, conversion/range checking; gaps: niche optimization, unchecked constructors/unusual conversion boundary cases."
dlv-list,"Suite: 87 tests, 97.5% API. Covers list insertion, removal, iteration, cursor; gaps: small-set peripheral accessors/uncommon mutation sequences."
ego-tree,"Suite: 90 tests, 89.6% API. Covers Tree construction and the tree! macro, node append/prepend/insert and detach, constant-time parent/child/sibling navigation, traversal iterators, serde; gaps: consuming NodeMut navigation (into_parent/into_*_child/into_prev_sibling), with_capacity."
encoding_rs,"Suite: 142 tests, 78.5% API. Covers encoding/decoding across common codecs, streaming conversions, replacement handling/label lookup; gaps: obscure encodings, rarely used decoder/encoder options/platform-specific branches."
filetime,"Suite: 10 tests, 73.3% API. Covers file timestamp reading/setting, nanosecond precision/basic platform wrappers; gaps: symlink, directory, descriptor-based."
fixedbitset,"Suite: 69 tests, 94.6% API. Covers bit insertion/removal, set operations, growth, iteration; gaps: unchecked indexing, unusual capacity transitions/iterator combos."
flate2,"Suite: 45 tests, 93.9% API. Covers compression/decompression paths across zlib/gzip/deflate wrappers/streaming readers/writers; gaps: backend-specific failures, partial buffers/uncommon flush/configuration combos."
